"Url","Sqft"
"http://www.climbsf.com/for-rent/301-mission-st-53d/","NA"
"http://www.climbsf.com/for-rent/2735-folsom-st/"," 1,800"
"http://www.climbsf.com/for-rent/301-mission-st-5a/"," 1,517"
"http://www.climbsf.com/for-rent/301-mission-st-35a/","NA"
"http://www.climbsf.com/for-rent/425-1st-st-1806/","NA"
"http://www.climbsf.com/for-rent/301-mission-st-22h/","NA"
"http://www.climbsf.com/for-rent/460-valley-st/"," 1,446"
"http://www.climbsf.com/for-rent/60-rausch-st-304/"," 1,138"
"http://www.climbsf.com/for-rent/325-berry-st-520/","NA"
"http://www.climbsf.com/for-rent/296-francisco-st/"," 987"
"http://www.climbsf.com/for-rent/199-new-montgomery-st-402/","NA"
"http://www.climbsf.com/for-rent/555-bartlett-st-409/","NA"
"http://www.climbsf.com/for-rent/655-26th-ave/"," 1,300"
"http://www.climbsf.com/for-rent/333-fremont-st-810/","NA"
"http://www.climbsf.com/for-rent/1766-oakdale-ave/"," 1,286"
"http://www.climbsf.com/for-rent/420-mission-bay-blvd-n-121/"," 980"
"http://www.climbsf.com/for-rent/252-granada-ave/"," 1,600"
"http://www.climbsf.com/for-rent/655-5th-st-12/","NA"
"http://www.climbsf.com/for-rent/1160-mission-st-1112/"," 664"
"http://www.climbsf.com/for-rent/333-fremont-st-705/","NA"
"http://www.climbsf.com/for-rent/567-vallejo-st-ph500/"," 2,081"
"http://www.climbsf.com/for-rent/1-college-ave/"," 1,600"
"http://www.climbsf.com/for-rent/77-dow-pl-707/"," 1,075"
"http://www.climbsf.com/for-rent/260-king-st-1013/"," 868"
"http://www.climbsf.com/for-rent/1615-broadway-12/"," 1,706"
"http://www.climbsf.com/for-rent/4236-halleck-st/"," 1,150"
